time,data
188,0.039902
189,0.0403277
190,0.0407558
191,0.0411861
192,0.0416187
193,0.0420537
194,0.0424909
195,0.0429304
196,0.0433723
197,0.0438164
198,0.0442629
199,0.0447117
200,0.0451627
201,0.0456161
202,0.0460718
203,0.0465298
204,0.0469901
205,0.0474527
206,0.0479177
207,0.0483849
208,0.0488545
209,0.0493264
210,0.0498006
211,0.0502771
212,0.050756
213,0.0512371
214,0.0517206
215,0.0522064
216,0.0526946
217,0.0531851
218,0.0536778
219,0.054173
220,0.0546704
221,0.0551702
222,0.0556723
223,0.0561768
224,0.0566835
225,0.0571927
226,0.0577041
227,0.0582179
228,0.058734
229,0.0592525
230,0.0597733
231,0.0602965
232,0.060822
233,0.0613498
234,0.06188
235,0.0624126
236,0.0629475
237,0.0634847
238,0.0640243
239,0.0645663
240,0.0651106
241,0.0656572
242,0.0662062
243,0.0667576
244,0.0673114
245,0.0678675
246,0.0684259
247,0.0689868
248,0.06955
249,0.0701155
250,0.0706835
251,0.0712538
252,0.0718264
253,0.0724015
254,0.0729789
255,0.0735587
256,0.0741409
257,0.0747255
258,0.0753124
259,0.0759018
260,0.0764935
261,0.0770876
262,0.0776841
263,0.078283
264,0.0788843
265,0.0794879
266,0.080094
267,0.0807025
268,0.0813133
269,0.0819266
270,0.0825423
271,0.0831604
272,0.0837809
273,0.0844037
274,0.085029
275,0.0856568
276,0.0862869
277,0.0869194
278,0.0875544
279,0.0881918
280,0.0888316
281,0.0894738
282,0.0901185
283,0.0907656
284,0.0914151
285,0.092067
286,0.0927214
287,0.0933782
288,0.0940375
289,0.0946992
290,0.0953633
291,0.0960299
292,0.0966989
293,0.0973704
294,0.0980444
295,0.0987208
296,0.0993996
297,0.100081
298,0.100765
299,0.101451
300,0.10214
301,0.102831
302,0.103524
303,0.104221
304,0.104919
305,0.10562
306,0.106324
307,0.10703
308,0.107738
309,0.108449
310,0.109163
311,0.109879
312,0.110597
313,0.111318
314,0.112042
315,0.112768
316,0.113496
317,0.114227
318,0.114961
319,0.115697
320,0.116435
321,0.117176
322,0.11792
323,0.118666
324,0.119415
325,0.120166
326,0.12092
327,0.121676
328,0.122435
329,0.123196
330,0.12396
331,0.124727
332,0.125496
333,0.126267
334,0.127042
335,0.127818
336,0.128598
337,0.12938
338,0.130164
339,0.130951
340,0.131741
341,0.132533
342,0.133328
343,0.134125
344,0.134925
345,0.135728
346,0.136533
347,0.137341
348,0.138151
349,0.138964
350,0.139779
351,0.140597
352,0.141418
353,0.142241
354,0.143067
355,0.143896
356,0.144727
357,0.145561
358,0.146398
359,0.147237
360,0.148079
361,0.148923
362,0.149771
363,0.15062
364,0.151473
365,0.152328
366,0.153186
367,0.154047
368,0.154911
369,0.155777
370,0.156645
371,0.157517
372,0.158391
373,0.159268
374,0.160148
375,0.161031
376,0.161916
377,0.162804
378,0.163695
379,0.164588
380,0.165484
381,0.166383
382,0.167285
383,0.16819
384,0.169097
385,0.170008
386,0.170921
387,0.171837
388,0.172755
389,0.173677
390,0.174601
391,0.175528
392,0.176458
393,0.177391
394,0.178327
395,0.179266
396,0.180207
397,0.181151
398,0.182099
399,0.183049
400,0.184002
401,0.184958
402,0.185917
403,0.186879
404,0.187844
405,0.188811
406,0.189782
407,0.190756
408,0.191732
409,0.192712
410,0.193695
411,0.19468
412,0.195669
413,0.196661
414,0.197655
415,0.198653
416,0.199654
417,0.200657
418,0.201664
419,0.202674
420,0.203687
421,0.204703
422,0.205723
423,0.206745
424,0.207771
425,0.208799
426,0.209831
427,0.210866
428,0.211904
429,0.212945
430,0.21399
431,0.215038
432,0.216089
433,0.217143
434,0.2182
435,0.219261
436,0.220325
437,0.221392
438,0.222463
439,0.223537
440,0.224614
441,0.225695
442,0.226778
443,0.227866
444,0.228956
445,0.230051
446,0.231148
447,0.232249
448,0.233353
449,0.234461
450,0.235573
451,0.236687
452,0.237806
453,0.238928
454,0.240053
455,0.241182
456,0.242315
457,0.243451
458,0.244591
459,0.245734
460,0.246882
461,0.248033
462,0.249187
463,0.250345
464,0.251507
465,0.252673
466,0.253843
467,0.255016
468,0.256193
469,0.257374
470,0.258559
471,0.259748
472,0.260941
473,0.262138
474,0.263338
475,0.264543
476,0.265752
477,0.266965
478,0.268181
479,0.269402
480,0.270627
481,0.271856
482,0.27309
483,0.274327
484,0.275569
485,0.276815
486,0.278066
487,0.27932
488,0.280579
489,0.281842
490,0.28311
491,0.284382
492,0.285659
493,0.28694
494,0.288225
495,0.289515
496,0.29081
497,0.292109
498,0.293412
499,0.294721
500,0.296033
501,0.297351
502,0.298673
503,0.3
504,0.301331
505,0.302668
506,0.304009
507,0.305354
508,0.306705
509,0.30806
510,0.309419
511,0.310784
512,0.312153
513,0.313527
514,0.314905
515,0.316288
516,0.317676
517,0.319068
518,0.320465
519,0.321866
520,0.323271
521,0.32468
522,0.326093
523,0.32751
524,0.328931
525,0.330355
526,0.331782
527,0.333212
528,0.334645
529,0.33608
530,0.337517
531,0.338955
532,0.340394
533,0.341832
534,0.34327
535,0.344707
536,0.34614
537,0.34757
538,0.348995
539,0.350413
540,0.351822
541,0.353221
542,0.354607
543,0.355977
544,0.357327
545,0.358654
546,0.359953
547,0.361219
548,0.362445
549,0.363624
550,0.364756
551,0.365847
552,0.366904
553,0.367932
554,0.368937
555,0.369921
556,0.370889
557,0.371843
558,0.372787
559,0.373721
560,0.374649
561,0.37557
562,0.376488
563,0.377403
564,0.378316
565,0.379229
566,0.380141
567,0.381053
568,0.381967
569,0.382882
570,0.383799
571,0.384719
572,0.385641
573,0.386566
574,0.387495
575,0.388428
576,0.389364
577,0.390304
578,0.391248
579,0.392196
580,0.393148
581,0.394105
582,0.395066
583,0.396032
584,0.397002
585,0.397976
586,0.398956
587,0.39994
588,0.400928
589,0.401922
590,0.40292
591,0.403922
592,0.40493
593,0.405942
594,0.406959
595,0.40798
596,0.409006
597,0.410037
598,0.411072
599,0.412112
600,0.413156
601,0.414205
602,0.415259
603,0.416317
604,0.417385
605,0.418457
606,0.419534
607,0.420616
608,0.421702
609,0.422792
610,0.423886
611,0.424985
612,0.426089
613,0.427196
614,0.428308
615,0.429425
616,0.430545
617,0.43167
618,0.432799
619,0.433932
620,0.435069
621,0.436211
622,0.437356
623,0.438506
624,0.43966
625,0.440817
626,0.441979
627,0.443145
628,0.444315
629,0.445488
630,0.446666
631,0.447848
632,0.449033
633,0.450223
634,0.451416
635,0.452613
636,0.453814
637,0.455019
638,0.456227
639,0.457439
640,0.458656
641,0.459875
642,0.461099
643,0.462326
644,0.463557
645,0.464792
646,0.46603
647,0.467272
648,0.468517
649,0.469767
650,0.471019
651,0.472276
652,0.473536
653,0.474799
654,0.476066
655,0.477337
656,0.478611
657,0.479889
658,0.48117
659,0.482454
660,0.483742
661,0.485034
662,0.486329
663,0.487627
664,0.488929
665,0.490234
666,0.491543
667,0.492855
668,0.49417
669,0.495489
670,0.496811
671,0.498137
672,0.499466
673,0.500798
674,0.502133
675,0.503472
676,0.504814
677,0.50616
678,0.507509
679,0.508861
680,0.510216
681,0.511574
682,0.512921
683,0.51427
684,0.515623
685,0.516979
686,0.518338
687,0.5197
688,0.521065
689,0.522434
690,0.523806
691,0.525181
692,0.526559
693,0.52794
694,0.529324
695,0.530712
696,0.532102
697,0.533496
698,0.534897
699,0.536302
700,0.537709
701,0.53912
702,0.540534
703,0.541951
704,0.543371
705,0.544794
706,0.546221
707,0.54765
708,0.549082
709,0.550518
710,0.551957
711,0.553398
712,0.554843
713,0.556291
714,0.557742
715,0.559196
716,0.560653
717,0.562113
718,0.563576
719,0.565042
720,0.566511
721,0.567983
722,0.569459
723,0.570937
724,0.572418
725,0.573903
726,0.57539
727,0.576881
728,0.578374
729,0.57987
730,0.58137
731,0.582872
732,0.584378
733,0.585886
734,0.587398
735,0.588912
736,0.590429
737,0.59195
738,0.593473
739,0.595
740,0.596529
741,0.598061
742,0.599597
743,0.601135
744,0.602676
745,0.604221
746,0.605768
747,0.607318
748,0.608871
749,0.610427
750,0.611986
751,0.613549
752,0.615114
753,0.616682
754,0.618253
755,0.619826
756,0.621403
757,0.622983
758,0.624566
759,0.626152
760,0.62774
761,0.629332
762,0.630927
763,0.632524
764,0.634125
765,0.635728
766,0.637335
767,0.638944
768,0.640556
